class,credits,displayDays,displayTime,location,occurrenceData,professor,professorRating,semester,semestersOffered,title
GCI 250-02,1,M,3:00pm - 3:50pm,Hashinger SC MakerSpace Lb 427,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 900, 'endTime': 950}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Javier Espeleta,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering III
GCI 250-03,1,M,5:30pm - 6:20pm,Hashinger SC MakerSpace Lb 427,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 1050, 'endTime': 1100}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Javier Espeleta,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering III
GCI 250-04,1,Tu,9:00am - 9:50am,Hashinger SC Chemistry Lab 439,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 540, 'endTime': 590}], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Cassandra Maya,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering III
GCI 250-05,1,Tu,12:00pm - 12:50pm,Hashinger SC Chemistry Lab 439,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 720, 'endTime': 770}], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Ariel Han,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering III
GCI 250-06,1,Tu,3:00pm - 3:50pm,Hashinger SC MakerSpace Lb 427,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 900, 'endTime': 950}], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Cassandra Maya,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering III
GCI 250-07,1,W,11:00am - 11:50am,Hashinger SC MakerSpace Lb 427,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 660, 'endTime': 710}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Aracely Acevedo,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering III
GCI 250-08,1,W,12:00pm - 12:50pm,Hashinger SC Chemistry Lab 439,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 720, 'endTime': 770}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Javier Espeleta,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering III
GCI 250-09,1,W,1:00pm - 1:50pm,Hashinger SC Chemistry Lab 439,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 780, 'endTime': 830}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Javier Espeleta,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering III
GCI 250-10,1,W,3:00pm - 3:50pm,Hashinger SC MakerSpace Lb 427,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 900, 'endTime': 950}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Javier Espeleta,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering III
GCI 250-11,1,Th,12:00pm - 12:50pm,Hashinger SC MakerSpace Lb 427,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [{'startTime': 720, 'endTime': 770}], 'F': [], 'Sa': [], 'Su': []}}",Aracely Acevedo,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering III
GCI 250-12,1,Th,3:00pm - 3:50pm,Hashinger SC MakerSpace Lb 427,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [{'startTime': 900, 'endTime': 950}], 'F': [], 'Sa': [], 'Su': []}}",Javier Espeleta,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering III
GCI 250-13,1,F,1:00pm - 1:50pm,Hashinger SC MakerSpace Lb 427,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [], 'F': [{'startTime': 780, 'endTime': 830}], 'Sa': [], 'Su': []}}",Joelle Prate,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering III
GD 104-01,3,TuTh,1:00pm - 3:50pm,Moulton Center Drawing 228,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 780, 'endTime': 950}], 'W': [], 'Th': [{'startTime': 780, 'endTime': 950}], 'F': [], 'Sa': [], 'Su': []}}",Rachelle Chuang,,spring2026,['Spring'],Design I
GD 105-01,3,MW,9:00am - 11:50am,Moulton Center Sculpture 178,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 540, 'endTime': 710}], 'Tu': [], 'W': [{'startTime': 540, 'endTime': 710}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Jillian Warren,,spring2026,['Spring'],Prototyping
GD 105-02,3,MW,1:00pm - 3:50pm,Moulton Center Sculpture 178,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 780, 'endTime': 950}], 'Tu': [], 'W': [{'startTime': 780, 'endTime': 950}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Jillian Warren,,spring2026,['Spring'],Prototyping
GD 203-01,3,MW,9:00am - 11:50am,Moulton Center Mac Lab 168,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 540, 'endTime': 710}], 'Tu': [], 'W': [{'startTime': 540, 'endTime': 710}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Claudine Jaenichen,74,spring2026,['Spring'],Color
GD 300-01,3,TuTh,9:00am - 11:50am,Moulton Center Mac Lab 168,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 540, 'endTime': 710}], 'W': [], 'Th': [{'startTime': 540, 'endTime': 710}], 'F': [], 'Sa': [], 'Su': []}}",Kathleen Kaiser,,spring2026,['Spring'],Design III
GD 303-01,3,MW,1:00pm - 3:50pm,Moulton Center Mac Lab 168,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 780, 'endTime': 950}], 'Tu': [], 'W': [{'startTime': 780, 'endTime': 950}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Claudine Jaenichen,74,spring2026,['Spring'],Information Design
GD 304-01,3,MW,9:00am - 11:50am,Leatherby Libraries Lab B12,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 540, 'endTime': 710}], 'Tu': [], 'W': [{'startTime': 540, 'endTime': 710}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Kathleen Kaiser,,spring2026,['Spring'],History of Graphic Design
GD 304-02,3,MW,1:00pm - 3:50pm,Leatherby Libraries Lab B12,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 780, 'endTime': 950}], 'Tu': [], 'W': [{'startTime': 780, 'endTime': 950}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Kathleen Kaiser,,spring2026,['Spring'],History of Graphic Design
GD 306-01,3,TuTh,9:00am - 11:50am,Leatherby Libraries Lab B12,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 540, 'endTime': 710}], 'W': [], 'Th': [{'startTime': 540, 'endTime': 710}], 'F': [], 'Sa': [], 'Su': []}}",Eric Chimenti,63,spring2026,['Spring'],4D Design
